Año,Trimestre,Provincia,Mbps (Media de bajada)
2016,4,SAN LUIS,3.5
2016,4,SANTA CRUZ,3.56
2016,4,SANTA FE,6.04
2016,4,SANTIAGO DEL ESTERO,4.87
2016,4,TIERRA DEL FUEGO,3.48
2016,4,TUCUMAN,5.73
2016,3,BUENOS AIRES,5.91
2016,3,CAPITAL FEDERAL,7.38
2016,3,CATAMARCA,4.73
2016,3,CHACO,6.72
2016,3,CHUBUT,3.34
2016,3,CORDOBA,6.07
2016,3,CORRIENTES,5.96
2016,3,ENTRE RIOS,5.59
2016,3,FORMOSA,5.42
2016,3,JUJUY,4.22
2016,3,LA PAMPA,3.14
2016,3,LA RIOJA,5.08
2016,3,MENDOZA,3.51
2016,3,MISIONES,6.74
2016,3,NEUQUEN,5.29
2016,3,RIO NEGRO,4.16
2016,3,SALTA,5.05
2016,3,SAN JUAN,3.49
2016,3,SAN LUIS,3.5
2016,3,SANTA CRUZ,3.54
2016,3,SANTA FE,5.68
2016,3,SANTIAGO DEL ESTERO,4.67
2016,3,TIERRA DEL FUEGO,3.48
2016,3,TUCUMAN,5.54
2016,2,BUENOS AIRES,5.42
2016,2,CAPITAL FEDERAL,6.58
2016,2,CATAMARCA,4.36
2016,2,CHACO,6.3
2016,2,CHUBUT,3.34
2016,2,CORDOBA,5.52
2016,2,CORRIENTES,5.6
2016,2,ENTRE RIOS,5.13
2016,2,FORMOSA,5.1
2016,2,JUJUY,3.84
2016,2,LA PAMPA,3.15
2016,2,LA RIOJA,4.77
2016,2,MENDOZA,3.5
2016,2,MISIONES,6.23
2016,2,NEUQUEN,4.87
2016,2,RIO NEGRO,3.98
2016,2,SALTA,4.75
2016,2,SAN JUAN,3.49
2016,2,SAN LUIS,3.5
2016,2,SANTA CRUZ,3.5
2016,2,SANTA FE,5.14
2016,2,SANTIAGO DEL ESTERO,4.31
2016,2,TIERRA DEL FUEGO,3.48
2016,2,TUCUMAN,5.2
